,Top_1_name,Top_2_name,Top_1_count,Top_2_count
C%C3%B4te_d%27Ivoire,France,Liberia,8,6
C._S._Lewis,Ireland,Chad,14,2
Cactus,Mexico,Israel,6,3
Cadmium,Germany,,2,
Caesar_cipher,,,,
Caesium,,,,
Caesium_fluoride,,,,
Cairo,Egypt,Germany,39,2
Cai_Lun,China,,2,
Calcite,Iceland,United States,3,2
Calcium,,,,
Calcium_chloride,,,,
Calculus,,,,
Calgary,Canada,China,41,5
California,United States,Mexico,15,5
California_Southern_Railroad,United States,,5,
Californium,,,,
Calligraphy,India,Japan,10,3
Caloris_Basin,,,,
Calvin_and_Hobbes,,,,
Calvin_Coolidge,United States,,7,
Camarasaurus,,,,
Cambodia,Cambodia,Vietnam,103,15
Cambrian,China,Oman,3,3
Cambrian_explosion,Australia,,2,
Cambridge,Hungary,Germany,2,2
